True_X,True_Y,Predicted_X,Predicted_Y,Predicted_Dist
0.8340149,-0.032242566,0.60926086,0.14250618,0.28469545
0.5472529,0.39374477,0.6066304,0.15166238,0.24925804
0.8496916,-0.018767226,0.6091905,0.14238183,0.28949922
0.59354275,-0.23812288,0.6070774,0.13746786,0.37583452
0.39272445,0.15958664,0.6045877,0.14415857,0.21242422
0.39196575,0.2293266,0.60511065,0.14841025,0.22798729
0.61112314,-0.24137235,0.60683924,0.13516569,0.37656242
0.61367637,-0.24032618,0.60668856,0.13469933,0.3750906
0.59517485,-0.23776357,0.60702384,0.13665761,0.3746086
0.51985186,-0.3619122,0.60691637,0.13734566,0.5067925
0.51919204,-0.36083806,0.60672545,0.13572168,0.5042159
0.5497088,-0.3960699,0.60717386,0.1403273,0.5394666
0.84588045,0.0006257935,0.6091441,0.1414515,0.27545595
0.8476745,-0.021375796,0.60902065,0.14106144,0.2886893
0.3608615,-0.0052835178,0.6048626,0.14491417,0.28652376
1.0785353,0.06795785,0.6096362,0.1471904,0.4755462
1.0718334,0.035830405,0.60923004,0.14415973,0.47511795
0.6042062,-0.23478241,0.6068247,0.13559169,0.37038332
0.6104881,0.23852083,0.6060338,0.14535242,0.093274824
0.5646298,-0.41191578,0.60718346,0.1401914,0.55374473
0.3324763,0.09721525,0.6047266,0.1457033,0.2765345
0.5352002,0.3808243,0.6064085,0.15092489,0.24067481
0.8530359,-0.0058400277,0.6090475,0.14067216,0.2845983
0.3543402,0.0039833803,0.60468477,0.14328681,0.28649232
0.6404478,0.2385222,0.6060138,0.14568044,0.09902169
0.92601633,0.044880826,0.6092609,0.14276066,0.3315335
0.62163097,0.23726353,0.6060117,0.14518948,0.09338947
0.3691507,0.01434178,0.6047134,0.14439186,0.2690777
0.41007844,0.0844507,0.60443485,0.14206451,0.20271598
0.5986979,0.24090885,0.60611874,0.14598387,0.0952146
1.0425762,0.18066907,0.6093372,0.14518715,0.43468952
0.33591112,0.108388655,0.60469776,0.14551674,0.27133882
0.5073785,-0.36962444,0.607447,0.14173615,0.5210599
0.43674436,0.1675425,0.60447615,0.14309224,0.1695045
0.5971541,0.23876502,0.6061634,0.14658676,0.09261749
0.60788846,-0.24371451,0.60682666,0.13569199,0.379408
0.4161371,0.22996311,0.60511667,0.14860153,0.20574981
0.511258,-0.37701505,0.60681,0.13632753,0.52215976
0.59990287,-0.24484757,0.6067195,0.1344359,0.37934473
0.55152094,0.40869862,0.6066762,0.15214595,0.26241452
0.53675807,0.36856487,0.6064231,0.15091962,0.2285228
0.60254234,-0.23774055,0.6069325,0.13594107,0.37370738
1.0597996,0.09133514,0.6096414,0.14711176,0.4536005
1.0662144,0.08933781,0.6096402,0.14702323,0.46020395
0.354335,-0.0049799574,0.60444874,0.14160815,0.28990507
0.3715955,0.19778666,0.6051044,0.14862472,0.23862794
0.5340956,0.3694593,0.6062214,0.14835621,0.23256978
0.595852,-0.23480363,0.60702085,0.13653278,0.37150434
0.58761877,0.24006784,0.6063266,0.14790441,0.09404297
0.51072884,-0.37077457,0.6074052,0.14139038,0.5212094
0.59911776,0.23845226,0.6062903,0.147699,0.09103625
0.5409361,0.3696971,0.6062531,0.14901252,0.23014775
0.8554406,-0.022316532,0.6089862,0.14074177,0.29551277
0.5439678,-0.37959835,0.6072897,0.14118448,0.5246183
1.035797,0.15682158,0.609557,0.14673181,0.42635944
0.83274037,-0.024605561,0.6092378,0.14261661,0.27913556
0.5395161,0.39553744,0.60665745,0.15216504,0.25246403
0.60986346,-0.23657069,0.60695213,0.13597722,0.3725593
0.55265844,0.41603777,0.6066703,0.15205021,0.26945633
1.0292573,0.17935684,0.60931367,0.14503606,0.42134377
0.5034326,-0.36499608,0.60740834,0.1413696,0.5169305
0.50629896,-0.36802024,0.6068541,0.13679077,0.51472855
0.4343237,0.21537991,0.60507095,0.14812906,0.18351376
0.65393823,0.22194707,0.6061562,0.14624992,0.089516394
0.5391764,0.38909826,0.6066588,0.15214005,0.24637993
0.5351759,0.37624347,0.60639626,0.1506397,0.23657852
0.3752038,0.19396797,0.6051044,0.14864603,0.23432533
0.5413276,0.37348533,0.60607547,0.14709917,0.23546332
0.59975064,0.24503633,0.60613143,0.1461197,0.099122226
1.0430468,0.09089991,0.6096378,0.14705981,0.4370324
1.0368801,0.13358234,0.6096026,0.14676824,0.42748097
1.0541662,0.060749445,0.60898346,0.14156924,0.4524594
0.5988895,-0.2361734,0.6068851,0.13546309,0.3717225
0.6098208,-0.2467672,0.6068558,0.13546313,0.38224185
0.5391325,0.38514158,0.6065878,0.15167128,0.24301977
0.8474997,-0.030772628,0.6089815,0.1402512,0.29349634
0.5331695,0.3774717,0.6063979,0.15061912,0.23837888
0.60490006,0.2353722,0.60610855,0.14577104,0.08960931
1.0276012,0.17923778,0.60934585,0.14534314,0.41962653
0.8490499,-0.016572934,0.6091339,0.14164843,0.2873912
0.5551324,0.4093222,0.60666937,0.15197071,0.26246113
0.590341,-0.23818262,0.60696703,0.13617565,0.37472728
0.8447368,0.005879848,0.60938597,0.14374165,0.2727561
0.5528537,0.37844995,0.60618675,0.14821538,0.23633105
0.5955143,-0.24172969,0.6068558,0.13546313,0.3773633
0.5495554,0.39573598,0.6066591,0.15198173,0.2503537
0.5390231,0.38900837,0.6065867,0.15167587,0.24676216
0.3434166,0.110310294,0.60469925,0.14525434,0.26360902
0.39448392,0.14483792,0.60461396,0.1443494,0.2101306
0.43274543,0.13971496,0.6048538,0.14737286,0.17227867
0.6093151,0.23451692,0.6061805,0.14609629,0.08847617
1.0896049,0.030309154,0.60922784,0.1439835,0.49364352
0.34445608,0.054349642,0.6044705,0.14228244,0.27448073
0.83712375,-0.0136843985,0.6092609,0.14276066,0.27639922
0.8340617,0.0077642906,0.60921514,0.14190242,0.26181865
0.59568727,0.23736154,0.606359,0.1481118,0.08988548
0.35406587,-0.0043896474,0.60463035,0.14293002,0.29066414
0.6010585,0.23526694,0.6064226,0.14846805,0.08696448
0.36100215,0.12444145,0.6047621,0.1462926,0.24473736
0.5966765,-0.23691246,0.60696703,0.13617565,0.37323
0.61892015,0.23785324,0.60620815,0.14663391,0.09210083
0.55254686,0.37830222,0.6060853,0.14734311,0.23708326
1.13169,0.02559873,0.6091911,0.14341183,0.5356165
1.0819762,0.06784207,0.60963714,0.14719896,0.47895896
0.6038521,-0.24251865,0.6071735,0.1386665,0.3811996
0.54595447,-0.38989332,0.60728943,0.14119495,0.5346183
0.40359655,0.19218075,0.60452026,0.14347062,0.20674384
0.60085994,0.24358201,0.6060042,0.14518617,0.09853022
0.33481553,0.0940213,0.6047286,0.145946,0.2748622
0.56914014,0.40062183,0.6066666,0.15199696,0.25144097
0.5370229,0.38619775,0.60652107,0.15143304,0.24483559
0.8564039,-0.022969985,0.60904014,0.1405448,0.29652303
0.5433708,-0.39057317,0.60729456,0.14116497,0.53556675
0.60211605,0.24179667,0.6062903,0.147699,0.09419022
0.8414221,-0.028770398,0.60896564,0.14067948,0.2876617
0.55224454,0.3769422,0.60622567,0.14836591,0.23486395
0.55367756,-0.4087012,0.607063,0.13894877,0.5502458
0.40120655,0.19271035,0.6050998,0.14841585,0.20864913
0.36333084,0.0009573487,0.6046887,0.14398316,0.280553
0.6065998,0.23703332,0.6064228,0.14877628,0.08825722
0.53722477,0.37902048,0.60651755,0.15145011,0.23788603
0.6101337,-0.24443169,0.6067352,0.13460714,0.37905404
0.49814093,-0.36816782,0.6074319,0.14159745,0.5213494
0.60641,-0.23776798,0.6070675,0.13739075,0.37515932
0.548608,0.37199834,0.6062571,0.14876579,0.23055626
0.60418653,0.236335,0.60613847,0.14598958,0.0903665
0.8362977,-0.03247521,0.60927117,0.14283742,0.28683716
0.52874804,-0.37462854,0.60695916,0.13782558,0.5183881
0.39997423,0.20607266,0.60445523,0.14296076,0.21399906
0.3583264,0.012317269,0.60477436,0.1447706,0.2797865
0.52617913,0.3659721,0.60635334,0.14999989,0.2303734
0.6087361,-0.23915294,0.6066939,0.13417663,0.37333515
1.0641668,0.04318202,0.6090499,0.14209145,0.46574074
0.5966715,-0.23789333,0.6067877,0.13488074,0.3729113
0.8374628,-0.008358993,0.60887027,0.1393746,0.27217597
0.41128904,0.22025849,0.60510945,0.148415,0.20670713
0.36305934,0.012109548,0.6046479,0.14307995,0.27480587
0.53482586,0.37971812,0.6064085,0.15093213,0.23972297
0.8381934,-0.029351925,0.6090639,0.14084098,0.28542238
0.5992391,0.23815694,0.6061528,0.14621852,0.092198
0.5442799,0.41166496,0.6066306,0.15171492,0.2673231
1.0275586,0.17926838,0.6093456,0.14534491,0.41958654
0.5945866,0.23770525,0.6061528,0.14621852,0.09221495
0.60785556,-0.24317445,0.6068233,0.13527656,0.3784524
0.35973647,0.0036784315,0.6046479,0.14307995,0.28180557
0.5552694,0.37911054,0.6061404,0.14765452,0.23698048
1.027635,0.18193291,0.6093358,0.14523475,0.4199059
0.5077549,-0.38083717,0.6074407,0.14161842,0.5318807
0.5714777,-0.41383675,0.6071273,0.13969325,0.5546768
0.62821996,-0.24278419,0.6068481,0.13541271,0.37880027
0.4046742,0.1595591,0.60447305,0.14319997,0.20046745
0.53954965,0.39436883,0.6066619,0.15219183,0.2513041
0.60792905,0.23923755,0.6061903,0.14621894,0.093034856
0.33724838,0.10743217,0.6046978,0.14536643,0.27012628
0.8548639,-0.037043642,0.6088822,0.14006896,0.30311033
0.40099996,0.19227423,0.6051077,0.14850119,0.20874879
0.8486287,-0.0060907267,0.6089444,0.14004968,0.2807233
0.35430557,0.0019253469,0.6046305,0.14265935,0.28717348
0.394541,0.13497941,0.6045148,0.14353558,0.21014804
0.6594586,-0.2227744,0.6068233,0.13527656,0.36189908
1.0609493,0.05982235,0.60892075,0.14109138,0.45927605
0.40654904,0.1984032,0.604474,0.14308116,0.20551112
0.6001309,0.23700583,0.6060928,0.14617458,0.09102669
0.5971138,0.23768534,0.60622674,0.14655323,0.091586605
0.84337854,-0.027341727,0.6091092,0.14160445,0.28883374
0.3329023,0.09713081,0.60473204,0.14616954,0.27621767
0.62144756,0.24066485,0.60599333,0.14512005,0.09678658
1.1347128,0.04130584,0.60922986,0.14386559,0.5353978
1.026787,0.08615708,0.60926294,0.14480153,0.4216225
0.5506362,0.4070195,0.6066686,0.1520512,0.26105258
0.60102826,-0.24283007,0.6067195,0.1344359,0.37730893
0.36148092,0.0073348535,0.60463953,0.14310478,0.2784952
0.8363565,-0.015146196,0.60921514,0.14190242,0.27614757
0.53025436,0.37597078,0.6063428,0.14997137,0.23846422
1.0659591,0.032301668,0.6090039,0.14182152,0.46989644
0.5473035,-0.39360756,0.607172,0.14020573,0.53716
1.0187886,0.2088925,0.60939,0.14585625,0.41422307
0.40867805,0.18284704,0.6051075,0.14843951,0.19942017
0.6081267,0.24128069,0.6061562,0.14624992,0.09505119
0.62297475,-0.23718275,0.6069302,0.13591087,0.37343845
1.0797936,0.06657972,0.6096341,0.14722314,0.47702545
0.38575992,0.17435619,0.60452783,0.14379172,0.22089271
0.36339626,-0.018266484,0.6047305,0.14414488,0.29089457
0.84331435,-0.0054804003,0.6091464,0.14134626,0.27639228
0.5042923,-0.36420694,0.6074091,0.14141399,0.5160287
0.56041354,-0.3964351,0.6071385,0.13986236,0.53832906
1.0522944,0.110544346,0.6092621,0.14478391,0.4443534
0.59698147,0.2384226,0.60617214,0.14625898,0.09262074
1.0433921,0.19112094,0.609367,0.14570066,0.43639517
0.36142218,0.023120292,0.60436136,0.14098446,0.2700211
0.35853276,-0.0111751985,0.6047323,0.14350103,0.2907558
0.5100121,-0.36546302,0.60743535,0.14164297,0.5163795
0.84242606,0.0011874677,0.6094835,0.14465816,0.27358013
0.35881013,0.117281385,0.60469735,0.14521173,0.24746844
1.075995,0.070271924,0.60963887,0.14713012,0.472647
0.57151264,-0.41431865,0.6071276,0.13969742,0.5551596
0.55230993,0.378133,0.60622567,0.14836591,0.2360081
0.5451404,0.40144,0.60601455,0.14651507,0.26209232
0.6235812,0.23620011,0.60623884,0.14660878,0.09125438
1.1187204,0.026025582,0.6091917,0.1434171,0.5228769
